source_file,compiler,ir,ir_flags,asm,asm_flags
source\00001.c,clang10,"# Compilation provided by Compiler Explorer at https://godbolt.org/
define dso_local i32 @main() #0 !dbg !7 {
  %1 = alloca i32, align 4
  store i32 0, i32* %1, align 4
  ret i32 0, !dbg !12
}

attributes #0 = { noinline norecurse nounwind optnone uwtable ""correctly-rounded-divide-sqrt-fp-math""=""false"" ""disable-tail-calls""=""false"" ""frame-pointer""=""all"" ""less-precise-fpmad""=""false"" ""min-legal-vector-width""=""0"" ""no-infs-fp-math""=""false"" ""no-jump-tables""=""false"" ""no-nans-fp-math""=""false"" ""no-signed-zeros-fp-math""=""false"" ""no-trapping-math""=""false"" ""stack-protector-buffer-size""=""8"" ""target-cpu""=""x86-64"" ""target-features""=""+cx8,+fxsr,+mmx,+sse,+sse2,+x87"" ""unsafe-fp-math""=""false"" ""use-soft-float""=""false"" }

",-emit-llvm,"# Compilation provided by Compiler Explorer at https://godbolt.org/
main:                                   # @main
        push    rbp
        mov     rbp, rsp
        xor     eax, eax
        mov     dword ptr [rbp - 4], 0
        pop     rbp
        ret
",-Wall
source\00002.c,clang10,"# Compilation provided by Compiler Explorer at https://godbolt.org/
define dso_local i32 @main() #0 !dbg !7 {
  %1 = alloca i32, align 4
  store i32 0, i32* %1, align 4
  ret i32 0, !dbg !12
}

attributes #0 = { noinline norecurse nounwind optnone uwtable ""correctly-rounded-divide-sqrt-fp-math""=""false"" ""disable-tail-calls""=""false"" ""frame-pointer""=""all"" ""less-precise-fpmad""=""false"" ""min-legal-vector-width""=""0"" ""no-infs-fp-math""=""false"" ""no-jump-tables""=""false"" ""no-nans-fp-math""=""false"" ""no-signed-zeros-fp-math""=""false"" ""no-trapping-math""=""false"" ""stack-protector-buffer-size""=""8"" ""target-cpu""=""x86-64"" ""target-features""=""+cx8,+fxsr,+mmx,+sse,+sse2,+x87"" ""unsafe-fp-math""=""false"" ""use-soft-float""=""false"" }

",-emit-llvm,"# Compilation provided by Compiler Explorer at https://godbolt.org/
main:                                   # @main
        push    rbp
        mov     rbp, rsp
        xor     eax, eax
        mov     dword ptr [rbp - 4], 0
        pop     rbp
        ret
",-Wall
source\00003.c,clang10,"# Compilation provided by Compiler Explorer at https://godbolt.org/
define dso_local i32 @main() #0 !dbg !7 {
  %1 = alloca i32, align 4
  %2 = alloca i32, align 4
  store i32 0, i32* %1, align 4
  call void @llvm.dbg.declare(metadata i32* %2, metadata !12, metadata !DIExpression()), !dbg !13
  store i32 4, i32* %2, align 4, !dbg !14
  %3 = load i32, i32* %2, align 4, !dbg !15
  %4 = sub nsw i32 %3, 4, !dbg !16
  ret i32 %4, !dbg !17
}

declare void @llvm.dbg.declare(metadata, metadata, metadata) #1

attributes #0 = { noinline norecurse nounwind optnone uwtable ""correctly-rounded-divide-sqrt-fp-math""=""false"" ""disable-tail-calls""=""false"" ""frame-pointer""=""all"" ""less-precise-fpmad""=""false"" ""min-legal-vector-width""=""0"" ""no-infs-fp-math""=""false"" ""no-jump-tables""=""false"" ""no-nans-fp-math""=""false"" ""no-signed-zeros-fp-math""=""false"" ""no-trapping-math""=""false"" ""stack-protector-buffer-size""=""8"" ""target-cpu""=""x86-64"" ""target-features""=""+cx8,+fxsr,+mmx,+sse,+sse2,+x87"" ""unsafe-fp-math""=""false"" ""use-soft-float""=""false"" }
attributes #1 = { nounwind readnone speculatable willreturn }

",-emit-llvm,"# Compilation provided by Compiler Explorer at https://godbolt.org/
main:                                   # @main
        push    rbp
        mov     rbp, rsp
        mov     dword ptr [rbp - 4], 0
        mov     dword ptr [rbp - 8], 4
        mov     eax, dword ptr [rbp - 8]
        sub     eax, 4
        pop     rbp
        ret
",-Wall
source\00004.c,clang10,"# Compilation provided by Compiler Explorer at https://godbolt.org/
define dso_local i32 @main() #0 !dbg !7 {
  %1 = alloca i32, align 4
  %2 = alloca i32, align 4
  %3 = alloca i32*, align 8
  store i32 0, i32* %1, align 4
  call void @llvm.dbg.declare(metadata i32* %2, metadata !12, metadata !DIExpression()), !dbg !13
  call void @llvm.dbg.declare(metadata i32** %3, metadata !14, metadata !DIExpression()), !dbg !16
  store i32 4, i32* %2, align 4, !dbg !17
  store i32* %2, i32** %3, align 8, !dbg !18
  %4 = load i32*, i32** %3, align 8, !dbg !19
  store i32 0, i32* %4, align 4, !dbg !20
  %5 = load i32*, i32** %3, align 8, !dbg !21
  %6 = load i32, i32* %5, align 4, !dbg !22
  ret i32 %6, !dbg !23
}

declare void @llvm.dbg.declare(metadata, metadata, metadata) #1

attributes #0 = { noinline norecurse nounwind optnone uwtable ""correctly-rounded-divide-sqrt-fp-math""=""false"" ""disable-tail-calls""=""false"" ""frame-pointer""=""all"" ""less-precise-fpmad""=""false"" ""min-legal-vector-width""=""0"" ""no-infs-fp-math""=""false"" ""no-jump-tables""=""false"" ""no-nans-fp-math""=""false"" ""no-signed-zeros-fp-math""=""false"" ""no-trapping-math""=""false"" ""stack-protector-buffer-size""=""8"" ""target-cpu""=""x86-64"" ""target-features""=""+cx8,+fxsr,+mmx,+sse,+sse2,+x87"" ""unsafe-fp-math""=""false"" ""use-soft-float""=""false"" }
attributes #1 = { nounwind readnone speculatable willreturn }

",-emit-llvm,"# Compilation provided by Compiler Explorer at https://godbolt.org/
main:                                   # @main
        push    rbp
        mov     rbp, rsp
        mov     dword ptr [rbp - 4], 0
        mov     dword ptr [rbp - 8], 4
        lea     rax, [rbp - 8]
        mov     qword ptr [rbp - 16], rax
        mov     rax, qword ptr [rbp - 16]
        mov     dword ptr [rax], 0
        mov     rax, qword ptr [rbp - 16]
        mov     eax, dword ptr [rax]
        pop     rbp
        ret
",-Wall
source\00005.c,clang10,"# Compilation provided by Compiler Explorer at https://godbolt.org/
define dso_local i32 @main() #0 !dbg !7 {
  %1 = alloca i32, align 4
  %2 = alloca i32, align 4
  %3 = alloca i32*, align 8
  %4 = alloca i32**, align 8
  store i32 0, i32* %1, align 4
  call void @llvm.dbg.declare(metadata i32* %2, metadata !12, metadata !DIExpression()), !dbg !13
  call void @llvm.dbg.declare(metadata i32** %3, metadata !14, metadata !DIExpression()), !dbg !16
  call void @llvm.dbg.declare(metadata i32*** %4, metadata !17, metadata !DIExpression()), !dbg !19
  store i32 0, i32* %2, align 4, !dbg !20
  store i32* %2, i32** %3, align 8, !dbg !21
  store i32** %3, i32*** %4, align 8, !dbg !22
  %5 = load i32*, i32** %3, align 8, !dbg !23
  %6 = load i32, i32* %5, align 4, !dbg !25
  %7 = icmp ne i32 %6, 0, !dbg !25
  br i1 %7, label %8, label %9, !dbg !26

8:
  store i32 1, i32* %1, align 4, !dbg !27
  br label %23, !dbg !27

9:
  %10 = load i32**, i32*** %4, align 8, !dbg !28
  %11 = load i32*, i32** %10, align 8, !dbg !30
  %12 = load i32, i32* %11, align 4, !dbg !31
  %13 = icmp ne i32 %12, 0, !dbg !31
  br i1 %13, label %14, label %15, !dbg !32

14:
  store i32 1, i32* %1, align 4, !dbg !33
  br label %23, !dbg !33

15:
  %16 = load i32**, i32*** %4, align 8, !dbg !34
  %17 = load i32*, i32** %16, align 8, !dbg !35
  store i32 1, i32* %17, align 4, !dbg !36
  br label %18

18:
  %19 = load i32, i32* %2, align 4, !dbg !37
  %20 = icmp ne i32 %19, 0, !dbg !37
  br i1 %20, label %21, label %22, !dbg !39

21:
  store i32 0, i32* %1, align 4, !dbg !40
  br label %23, !dbg !40

22:
  store i32 1, i32* %1, align 4, !dbg !41
  br label %23, !dbg !41

23:
  %24 = load i32, i32* %1, align 4, !dbg !42
  ret i32 %24, !dbg !42
}

declare void @llvm.dbg.declare(metadata, metadata, metadata) #1

attributes #0 = { noinline norecurse nounwind optnone uwtable ""correctly-rounded-divide-sqrt-fp-math""=""false"" ""disable-tail-calls""=""false"" ""frame-pointer""=""all"" ""less-precise-fpmad""=""false"" ""min-legal-vector-width""=""0"" ""no-infs-fp-math""=""false"" ""no-jump-tables""=""false"" ""no-nans-fp-math""=""false"" ""no-signed-zeros-fp-math""=""false"" ""no-trapping-math""=""false"" ""stack-protector-buffer-size""=""8"" ""target-cpu""=""x86-64"" ""target-features""=""+cx8,+fxsr,+mmx,+sse,+sse2,+x87"" ""unsafe-fp-math""=""false"" ""use-soft-float""=""false"" }
attributes #1 = { nounwind readnone speculatable willreturn }

",-emit-llvm,"# Compilation provided by Compiler Explorer at https://godbolt.org/
main:                                   # @main
        push    rbp
        mov     rbp, rsp
        mov     dword ptr [rbp - 4], 0
        mov     dword ptr [rbp - 8], 0
        lea     rax, [rbp - 8]
        mov     qword ptr [rbp - 16], rax
        lea     rax, [rbp - 16]
        mov     qword ptr [rbp - 24], rax
        mov     rax, qword ptr [rbp - 16]
        cmp     dword ptr [rax], 0
        je      .LBB0_2
        mov     dword ptr [rbp - 4], 1
        jmp     .LBB0_8
.LBB0_2:
        mov     rax, qword ptr [rbp - 24]
        mov     rax, qword ptr [rax]
        cmp     dword ptr [rax], 0
        je      .LBB0_4
        mov     dword ptr [rbp - 4], 1
        jmp     .LBB0_8
.LBB0_4:
        mov     rax, qword ptr [rbp - 24]
        mov     rax, qword ptr [rax]
        mov     dword ptr [rax], 1
        cmp     dword ptr [rbp - 8], 0
        je      .LBB0_7
        mov     dword ptr [rbp - 4], 0
        jmp     .LBB0_8
.LBB0_7:
        mov     dword ptr [rbp - 4], 1
.LBB0_8:
        mov     eax, dword ptr [rbp - 4]
        pop     rbp
        ret
",-Wall
source\00006.c,clang10,"# Compilation provided by Compiler Explorer at https://godbolt.org/
define dso_local i32 @main() #0 !dbg !7 {
  %1 = alloca i32, align 4
  %2 = alloca i32, align 4
  store i32 0, i32* %1, align 4
  call void @llvm.dbg.declare(metadata i32* %2, metadata !12, metadata !DIExpression()), !dbg !13
  store i32 50, i32* %2, align 4, !dbg !14
  br label %3, !dbg !15

3:
  %4 = load i32, i32* %2, align 4, !dbg !16
  %5 = icmp ne i32 %4, 0, !dbg !16
  br i1 %5, label %6, label %9, !dbg !15

6:
  %7 = load i32, i32* %2, align 4, !dbg !17
  %8 = sub nsw i32 %7, 1, !dbg !18
  store i32 %8, i32* %2, align 4, !dbg !19
  br label %3, !dbg !15

9:
  %10 = load i32, i32* %2, align 4, !dbg !22
  ret i32 %10, !dbg !23
}

declare void @llvm.dbg.declare(metadata, metadata, metadata) #1

attributes #0 = { noinline norecurse nounwind optnone uwtable ""correctly-rounded-divide-sqrt-fp-math""=""false"" ""disable-tail-calls""=""false"" ""frame-pointer""=""all"" ""less-precise-fpmad""=""false"" ""min-legal-vector-width""=""0"" ""no-infs-fp-math""=""false"" ""no-jump-tables""=""false"" ""no-nans-fp-math""=""false"" ""no-signed-zeros-fp-math""=""false"" ""no-trapping-math""=""false"" ""stack-protector-buffer-size""=""8"" ""target-cpu""=""x86-64"" ""target-features""=""+cx8,+fxsr,+mmx,+sse,+sse2,+x87"" ""unsafe-fp-math""=""false"" ""use-soft-float""=""false"" }
attributes #1 = { nounwind readnone speculatable willreturn }

",-emit-llvm,"# Compilation provided by Compiler Explorer at https://godbolt.org/
main:                                   # @main
        push    rbp
        mov     rbp, rsp
        mov     dword ptr [rbp - 4], 0
        mov     dword ptr [rbp - 8], 50
.LBB0_1:                                # =>This Inner Loop Header: Depth=1
        cmp     dword ptr [rbp - 8], 0
        je      .LBB0_3
        mov     eax, dword ptr [rbp - 8]
        sub     eax, 1
        mov     dword ptr [rbp - 8], eax
        jmp     .LBB0_1
.LBB0_3:
        mov     eax, dword ptr [rbp - 8]
        pop     rbp
        ret
",-Wall
source\00007.c,clang10,"# Compilation provided by Compiler Explorer at https://godbolt.org/
define dso_local i32 @main() #0 !dbg !7 {
  %1 = alloca i32, align 4
  %2 = alloca i32, align 4
  store i32 0, i32* %1, align 4
  call void @llvm.dbg.declare(metadata i32* %2, metadata !12, metadata !DIExpression()), !dbg !13
  store i32 1, i32* %2, align 4, !dbg !14
  store i32 10, i32* %2, align 4, !dbg !15
  br label %3, !dbg !17

3:
  %4 = load i32, i32* %2, align 4, !dbg !18
  %5 = icmp ne i32 %4, 0, !dbg !18
  br i1 %5, label %6, label %10, !dbg !20

6:
  br label %7, !dbg !20

7:
  %8 = load i32, i32* %2, align 4, !dbg !21
  %9 = sub nsw i32 %8, 1, !dbg !22
  store i32 %9, i32* %2, align 4, !dbg !23
  br label %3, !dbg !24

10:
  %11 = load i32, i32* %2, align 4, !dbg !27
  %12 = icmp ne i32 %11, 0, !dbg !27
  br i1 %12, label %13, label %14, !dbg !29

13:
  store i32 1, i32* %1, align 4, !dbg !30
  br label %23, !dbg !30

14:
  store i32 10, i32* %2, align 4, !dbg !31
  br label %15, !dbg !32

15:
  %16 = load i32, i32* %2, align 4, !dbg !33
  %17 = icmp ne i32 %16, 0, !dbg !33
  br i1 %17, label %18, label %21, !dbg !36

18:
  %19 = load i32, i32* %2, align 4, !dbg !37
  %20 = sub nsw i32 %19, 1, !dbg !38
  store i32 %20, i32* %2, align 4, !dbg !39
  br label %15, !dbg !40

21:
  %22 = load i32, i32* %2, align 4, !dbg !43
  store i32 %22, i32* %1, align 4, !dbg !44
  br label %23, !dbg !44

23:
  %24 = load i32, i32* %1, align 4, !dbg !45
  ret i32 %24, !dbg !45
}

declare void @llvm.dbg.declare(metadata, metadata, metadata) #1

attributes #0 = { noinline norecurse nounwind optnone uwtable ""correctly-rounded-divide-sqrt-fp-math""=""false"" ""disable-tail-calls""=""false"" ""frame-pointer""=""all"" ""less-precise-fpmad""=""false"" ""min-legal-vector-width""=""0"" ""no-infs-fp-math""=""false"" ""no-jump-tables""=""false"" ""no-nans-fp-math""=""false"" ""no-signed-zeros-fp-math""=""false"" ""no-trapping-math""=""false"" ""stack-protector-buffer-size""=""8"" ""target-cpu""=""x86-64"" ""target-features""=""+cx8,+fxsr,+mmx,+sse,+sse2,+x87"" ""unsafe-fp-math""=""false"" ""use-soft-float""=""false"" }
attributes #1 = { nounwind readnone speculatable willreturn }

",-emit-llvm,"# Compilation provided by Compiler Explorer at https://godbolt.org/
main:                                   # @main
        push    rbp
        mov     rbp, rsp
        mov     dword ptr [rbp - 4], 0
        mov     dword ptr [rbp - 8], 1
        mov     dword ptr [rbp - 8], 10
.LBB0_1:                                # =>This Inner Loop Header: Depth=1
        cmp     dword ptr [rbp - 8], 0
        je      .LBB0_4
        jmp     .LBB0_3
.LBB0_3:                                #   in Loop: Header=BB0_1 Depth=1
        mov     eax, dword ptr [rbp - 8]
        sub     eax, 1
        mov     dword ptr [rbp - 8], eax
        jmp     .LBB0_1
.LBB0_4:
        cmp     dword ptr [rbp - 8], 0
        je      .LBB0_6
        mov     dword ptr [rbp - 4], 1
        jmp     .LBB0_10
.LBB0_6:
        mov     dword ptr [rbp - 8], 10
.LBB0_7:                                # =>This Inner Loop Header: Depth=1
        cmp     dword ptr [rbp - 8], 0
        je      .LBB0_9
        mov     eax, dword ptr [rbp - 8]
        sub     eax, 1
        mov     dword ptr [rbp - 8], eax
        jmp     .LBB0_7
.LBB0_9:
        mov     eax, dword ptr [rbp - 8]
        mov     dword ptr [rbp - 4], eax
.LBB0_10:
        mov     eax, dword ptr [rbp - 4]
        pop     rbp
        ret
",-Wall
source\00008.c,clang10,"# Compilation provided by Compiler Explorer at https://godbolt.org/
define dso_local i32 @main() #0 !dbg !7 {
  %1 = alloca i32, align 4
  %2 = alloca i32, align 4
  store i32 0, i32* %1, align 4
  call void @llvm.dbg.declare(metadata i32* %2, metadata !12, metadata !DIExpression()), !dbg !13
  store i32 50, i32* %2, align 4, !dbg !14
  br label %3, !dbg !15

3:
  %4 = load i32, i32* %2, align 4, !dbg !16
  %5 = sub nsw i32 %4, 1, !dbg !17
  store i32 %5, i32* %2, align 4, !dbg !18
  br label %6, !dbg !19

6:
  %7 = load i32, i32* %2, align 4, !dbg !20
  %8 = icmp ne i32 %7, 0, !dbg !20
  br i1 %8, label %3, label %9, !dbg !19

9:
  %10 = load i32, i32* %2, align 4, !dbg !23
  ret i32 %10, !dbg !24
}

declare void @llvm.dbg.declare(metadata, metadata, metadata) #1

attributes #0 = { noinline norecurse nounwind optnone uwtable ""correctly-rounded-divide-sqrt-fp-math""=""false"" ""disable-tail-calls""=""false"" ""frame-pointer""=""all"" ""less-precise-fpmad""=""false"" ""min-legal-vector-width""=""0"" ""no-infs-fp-math""=""false"" ""no-jump-tables""=""false"" ""no-nans-fp-math""=""false"" ""no-signed-zeros-fp-math""=""false"" ""no-trapping-math""=""false"" ""stack-protector-buffer-size""=""8"" ""target-cpu""=""x86-64"" ""target-features""=""+cx8,+fxsr,+mmx,+sse,+sse2,+x87"" ""unsafe-fp-math""=""false"" ""use-soft-float""=""false"" }
attributes #1 = { nounwind readnone speculatable willreturn }

",-emit-llvm,"# Compilation provided by Compiler Explorer at https://godbolt.org/
main:                                   # @main
        push    rbp
        mov     rbp, rsp
        mov     dword ptr [rbp - 4], 0
        mov     dword ptr [rbp - 8], 50
.LBB0_1:                                # =>This Inner Loop Header: Depth=1
        mov     eax, dword ptr [rbp - 8]
        sub     eax, 1
        mov     dword ptr [rbp - 8], eax
        cmp     dword ptr [rbp - 8], 0
        jne     .LBB0_1
        mov     eax, dword ptr [rbp - 8]
        pop     rbp
        ret
",-Wall
source\00009.c,clang10,"# Compilation provided by Compiler Explorer at https://godbolt.org/
define dso_local i32 @main() #0 !dbg !7 {
  %1 = alloca i32, align 4
  %2 = alloca i32, align 4
  store i32 0, i32* %1, align 4
  call void @llvm.dbg.declare(metadata i32* %2, metadata !12, metadata !DIExpression()), !dbg !13
  store i32 1, i32* %2, align 4, !dbg !14
  %3 = load i32, i32* %2, align 4, !dbg !15
  %4 = mul nsw i32 %3, 10, !dbg !16
  store i32 %4, i32* %2, align 4, !dbg !17
  %5 = load i32, i32* %2, align 4, !dbg !18
  %6 = sdiv i32 %5, 2, !dbg !19
  store i32 %6, i32* %2, align 4, !dbg !20
  %7 = load i32, i32* %2, align 4, !dbg !21
  %8 = srem i32 %7, 3, !dbg !22
  store i32 %8, i32* %2, align 4, !dbg !23
  %9 = load i32, i32* %2, align 4, !dbg !24
  %10 = sub nsw i32 %9, 2, !dbg !25
  ret i32 %10, !dbg !26
}

declare void @llvm.dbg.declare(metadata, metadata, metadata) #1

attributes #0 = { noinline norecurse nounwind optnone uwtable ""correctly-rounded-divide-sqrt-fp-math""=""false"" ""disable-tail-calls""=""false"" ""frame-pointer""=""all"" ""less-precise-fpmad""=""false"" ""min-legal-vector-width""=""0"" ""no-infs-fp-math""=""false"" ""no-jump-tables""=""false"" ""no-nans-fp-math""=""false"" ""no-signed-zeros-fp-math""=""false"" ""no-trapping-math""=""false"" ""stack-protector-buffer-size""=""8"" ""target-cpu""=""x86-64"" ""target-features""=""+cx8,+fxsr,+mmx,+sse,+sse2,+x87"" ""unsafe-fp-math""=""false"" ""use-soft-float""=""false"" }
attributes #1 = { nounwind readnone speculatable willreturn }

",-emit-llvm,"# Compilation provided by Compiler Explorer at https://godbolt.org/
main:                                   # @main
        push    rbp
        mov     rbp, rsp
        mov     dword ptr [rbp - 4], 0
        mov     dword ptr [rbp - 8], 1
        imul    eax, dword ptr [rbp - 8], 10
        mov     dword ptr [rbp - 8], eax
        mov     eax, dword ptr [rbp - 8]
        cdq
        mov     ecx, 2
        idiv    ecx
        mov     dword ptr [rbp - 8], eax
        mov     eax, dword ptr [rbp - 8]
        cdq
        mov     ecx, 3
        idiv    ecx
        mov     dword ptr [rbp - 8], edx
        mov     ecx, dword ptr [rbp - 8]
        sub     ecx, 2
        mov     eax, ecx
        pop     rbp
        ret
",-Wall
source\00010.c,clang10,"# Compilation provided by Compiler Explorer at https://godbolt.org/
define dso_local i32 @main() #0 !dbg !7 {
  %1 = alloca i32, align 4
  store i32 0, i32* %1, align 4
  br label %2, !dbg !12

2:
  call void @llvm.dbg.label(metadata !13), !dbg !14
  br label %4, !dbg !15

3:
  call void @llvm.dbg.label(metadata !16), !dbg !17
  ret i32 0, !dbg !18

4:
  call void @llvm.dbg.label(metadata !19), !dbg !20
  br label %5, !dbg !18

5:
  call void @llvm.dbg.label(metadata !21), !dbg !22
  br label %3, !dbg !23
}

declare void @llvm.dbg.label(metadata) #1

attributes #0 = { noinline norecurse nounwind optnone uwtable ""correctly-rounded-divide-sqrt-fp-math""=""false"" ""disable-tail-calls""=""false"" ""frame-pointer""=""all"" ""less-precise-fpmad""=""false"" ""min-legal-vector-width""=""0"" ""no-infs-fp-math""=""false"" ""no-jump-tables""=""false"" ""no-nans-fp-math""=""false"" ""no-signed-zeros-fp-math""=""false"" ""no-trapping-math""=""false"" ""stack-protector-buffer-size""=""8"" ""target-cpu""=""x86-64"" ""target-features""=""+cx8,+fxsr,+mmx,+sse,+sse2,+x87"" ""unsafe-fp-math""=""false"" ""use-soft-float""=""false"" }
attributes #1 = { nounwind readnone speculatable willreturn }

",-emit-llvm,"# Compilation provided by Compiler Explorer at https://godbolt.org/
main:                                   # @main
        push    rbp
        mov     rbp, rsp
        mov     dword ptr [rbp - 4], 0
        jmp     .LBB0_3
.LBB0_2:
        xor     eax, eax
        pop     rbp
        ret
.LBB0_3:
        jmp     .LBB0_4
.LBB0_4:
        jmp     .LBB0_2
Standard error:
[1m<source>:4:2: [0m[0;1;35mwarning: [0m[1munused label 'start' [-Wunused-label][0m
        start:
[0;1;32m        ^~~~~~
[0m[1m<source>:10:2: [0m[0;1;35mwarning: [0m[1munused label 'foo' [-Wunused-label][0m
        foo:
[0;1;32m        ^~~~
[0m2 warnings generated.
",-Wall
